Count,,Year,JD,HR MIN,,RAD,NETRAD,PPFD_in,TA,RH,WS,WD,P,kPa,,Vol W C ,Soil T,G,,Sonic T,USTAR,,FC,SC,NEE,CO2,,  H,  LE
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,2018,1,30,,-0.2,-66.24,-0.2,-13.66,55.8,2.47,320.9,0,102.6,,0.054,2.64,-10.69,,,,,,,,,,,
4,,2018,1,100,,-0.2,-66.87,-0.1,-13.74,55.3,2.35,282,0,102.6,,0.054,2.62,-10.82,,,,,,,,,,,
5,,2018,1,130,,-0.2,-67.05,-0.2,-13.99,55.5,2,275.3,0,102.6,,0.054,2.59,-10.93,,,,,,,,,,,
6,,2018,1,200,,-0.2,-66.85,-0.3,-14.21,56.2,1.89,308.2,0,102.6,,0.054,2.57,-11.05,,,,,,,,,,,
7,,2018,1,230,,-0.3,-65.79,-0.4,-14.48,57.1,1.69,299.9,0,102.6,,0.054,2.55,-11.17,,,,,,,,,,,
8,,2018,1,300,,-0.3,-65.56,-0.3,-14.73,57.5,1.57,283.6,0,102.6,,0.054,2.52,-11.29,,,,,,,,,,,
9,,2018,1,330,,-0.3,-65.4,-0.3,-14.64,56.9,2,301.6,0,102.6,,0.054,2.5,-11.41,,,,,,,,,,,
10,,2018,1,400,,-0.3,-65.97,-0.3,-14.69,56.7,1.86,321.8,0,102.6,,0.054,2.47,-11.53,,,,,,,,,,,
11,,2018,1,430,,-0.3,-66.68,-0.2,-14.84,57.6,1.63,303.7,0,102.7,,0.054,2.45,-11.65,,,,,,,,,,,
12,,2018,1,500,,-0.3,-67.56,-0.1,-14.76,57.9,2.27,305.7,0,102.7,,0.054,2.42,-11.77,,,,,,,,,,,
13,,2018,1,530,,-0.3,-69.19,-0.2,-14.76,58.6,2.49,279.6,0,102.7,,0.054,2.4,-11.87,,,,,,,,,,,
14,,2018,1,600,,-0.3,-66.78,-0.2,-15.07,60.6,2.01,298,0,102.7,,0.054,2.37,-11.96,,,,,,,,,,,
15,,2018,1,630,,-0.3,-65.73,-0.2,-15.3,61.7,1.91,291.6,0,102.7,,0.054,2.34,-12.03,,,,,,,,,,,
16,,2018,1,700,,-0.3,-66.49,-0.1,-15.24,61.5,2.19,300.5,0,102.7,,0.054,2.32,-12.11,,,,,,,,,,,
17,,2018,1,730,,-0.3,-65.93,-0.1,-15.27,61.7,2.27,287.1,0,102.8,,0.054,2.29,-12.19,,,,,,,,,,,
18,,2018,1,800,,-0.2,-64.44,0,-15.38,62.7,2.05,277.8,0,102.8,,0.053,2.26,-12.27,,,,,,,,,,,
19,,2018,1,830,,4.2,-61.5,8.7,-15.45,63.9,2.29,305.6,0,102.8,,0.053,2.24,-12.34,,,,,,,,,,,
20,,2018,1,900,,42.2,-38.2,68,-15.29,63.2,2.21,296.1,0,102.8,,0.053,2.21,-12.41,,,,,,,,,,,
21,,2018,1,930,,117.8,4.51,198.4,-14.5,60.7,2.29,245.1,0,102.8,,0.054,2.19,-12.47,,,,,,,,,,,
22,,2018,1,1000,,185.4,48.77,341.4,-13.48,57.5,2.93,268.5,0,102.7,,0.054,2.16,-12.51,,,,,,,,,,,
23,,2018,1,1030,,249,99.9,482.3,-12.52,53.6,3.46,307.7,0,102.7,,0.054,2.14,-12.51,,,,,,,,,,,
24,,2018,1,1100,,307.2,148.9,612.1,-12.01,51.8,3.06,296.2,0,102.6,,0.055,2.13,-12.47,,,,,,,,,,,
