Count,Year,JD,mm-dd,HR MIN,PPFD_in,PPFD^2,TA,TA^2,PPFD.x.TA,RH,WS,WD,P,kPa,Vol W C ,Soil T,G,RAD,NETRAD,Sonic T,USTAR,FC,SC,NEE,CO2,  H,  LE
3,2018,1,1-Jan,30,-0.2,0,-13.66,186.6,2.732,55.8,2.47,320.9,0,102.6,0.054,2.64,-10.69,-0.2,-66.24,,,,,,,,
4,2018,1,1-Jan,100,-0.1,0,-13.74,188.8,1.374,55.3,2.35,282,0,102.6,0.054,2.62,-10.82,-0.2,-66.87,,,,,,,,
5,2018,1,1-Jan,130,-0.2,0,-13.99,195.7,2.798,55.5,2,275.3,0,102.6,0.054,2.59,-10.93,-0.2,-67.05,,,,,,,,
6,2018,1,1-Jan,200,-0.3,0,-14.21,201.9,4.263,56.2,1.89,308.2,0,102.6,0.054,2.57,-11.05,-0.2,-66.85,,,,,,,,
7,2018,1,1-Jan,230,-0.4,0,-14.48,209.7,5.792,57.1,1.69,299.9,0,102.6,0.054,2.55,-11.17,-0.3,-65.79,,,,,,,,
8,2018,1,1-Jan,300,-0.3,0,-14.73,217.0,4.419,57.5,1.57,283.6,0,102.6,0.054,2.52,-11.29,-0.3,-65.56,,,,,,,,
9,2018,1,1-Jan,330,-0.3,0,-14.64,214.3,4.392,56.9,2,301.6,0,102.6,0.054,2.5,-11.41,-0.3,-65.4,,,,,,,,
10,2018,1,1-Jan,400,-0.3,0,-14.69,215.8,4.407,56.7,1.86,321.8,0,102.6,0.054,2.47,-11.53,-0.3,-65.97,,,,,,,,
11,2018,1,1-Jan,430,-0.2,0,-14.84,220.2,2.968,57.6,1.63,303.7,0,102.7,0.054,2.45,-11.65,-0.3,-66.68,,,,,,,,
12,2018,1,1-Jan,500,-0.1,0,-14.76,217.9,1.476,57.9,2.27,305.7,0,102.7,0.054,2.42,-11.77,-0.3,-67.56,,,,,,,,
13,2018,1,1-Jan,530,-0.2,0,-14.76,217.9,2.952,58.6,2.49,279.6,0,102.7,0.054,2.4,-11.87,-0.3,-69.19,,,,,,,,
14,2018,1,1-Jan,600,-0.2,0,-15.07,227.1,3.014,60.6,2.01,298,0,102.7,0.054,2.37,-11.96,-0.3,-66.78,,,,,,,,
15,2018,1,1-Jan,630,-0.2,0,-15.3,234.1,3.06,61.7,1.91,291.6,0,102.7,0.054,2.34,-12.03,-0.3,-65.73,,,,,,,,
16,2018,1,1-Jan,700,-0.1,0,-15.24,232.3,1.524,61.5,2.19,300.5,0,102.7,0.054,2.32,-12.11,-0.3,-66.49,,,,,,,,
17,2018,1,1-Jan,730,-0.1,0,-15.27,233.2,1.527,61.7,2.27,287.1,0,102.8,0.054,2.29,-12.19,-0.3,-65.93,,,,,,,,
18,2018,1,1-Jan,800,0,0,-15.38,236.5,0,62.7,2.05,277.8,0,102.8,0.053,2.26,-12.27,-0.2,-64.44,,,,,,,,
19,2018,1,1-Jan,830,8.7,76,-15.45,238.7,-134.415,63.9,2.29,305.6,0,102.8,0.053,2.24,-12.34,4.2,-61.5,,,,,,,,
20,2018,1,1-Jan,900,68,4624,-15.29,233.8,-1039.72,63.2,2.21,296.1,0,102.8,0.053,2.21,-12.41,42.2,-38.2,,,,,,,,
21,2018,1,1-Jan,930,198.4,39363,-14.5,210.3,-2876.8,60.7,2.29,245.1,0,102.8,0.054,2.19,-12.47,117.8,4.51,,,,,,,,
22,2018,1,1-Jan,1000,341.4,116554,-13.48,181.7,-4602.072,57.5,2.93,268.5,0,102.7,0.054,2.16,-12.51,185.4,48.77,,,,,,,,
23,2018,1,1-Jan,1030,482.3,232613,-12.52,156.8,-6038.396,53.6,3.46,307.7,0,102.7,0.054,2.14,-12.51,249,99.9,,,,,,,,
